section,estimand,m,estimate,std_error,df,p_value,conf_low,conf_high,scale,.imp,q,u
pooled,risk_0_3h,5,0.324903603710772,0.017776814803212,16906.6164743046,6.51576993308292e-74,0.290059192386985,0.359748015034559,risk,,,
pooled,risk_3_12h,5,0.343584447934721,0.0202102606408648,41030.1288265324,1.35613871813281e-64,0.303971896414038,0.383196999455404,risk,,,
pooled,risk_difference_3_12h_minus_0_3h,5,0.0186808442239487,0.0189682953170253,17066.3080397771,0.324713826751818,-0.0184989682828922,0.0558606567307896,risk,,,
pooled,risk_ratio_3_12h_vs_0_3h,5,1.05750071510001,0.056452724406286,16443.3607204641,0.322014596709076,0.946726396594552,1.18123648654952,ratio,,,
per_imp,risk_0_3h,,,,,,,,risk,1,0.327939460268443,0.000316877082021218
per_imp,risk_3_12h,,,,,,,,risk,1,0.343868094083808,0.000412534998826607
per_imp,risk_difference_3_12h_minus_0_3h,,,,,,,,risk_difference,1,0.0159286338153648,0.000355118375447234
per_imp,log_risk_ratio_3_12h_vs_0_3h,,,,,,,,log_ratio,1,0.0474291174115796,0.00311613693194318
per_imp,risk_0_3h,,,,,,,,risk,2,0.322725070839953,0.000307397517806753
per_imp,risk_3_12h,,,,,,,,risk,2,0.342458850109282,0.000401403784302503
per_imp,risk_difference_3_12h_minus_0_3h,,,,,,,,risk_difference,2,0.0197337792693285,0.000352857413556208
per_imp,log_risk_ratio_3_12h_vs_0_3h,,,,,,,,log_ratio,2,0.0593507179195052,0.00315348683380715
per_imp,risk_0_3h,,,,,,,,risk,3,0.323972540420122,0.000306806953149444
per_imp,risk_3_12h,,,,,,,,risk,3,0.341055231652969,0.00039713381363223
per_imp,risk_difference_3_12h_minus_0_3h,,,,,,,,risk_difference,3,0.0170826912328469,0.000352611204835411
per_imp,log_risk_ratio_3_12h_vs_0_3h,,,,,,,,log_ratio,3,0.0513856734137019,0.00315765449325598
per_imp,risk_0_3h,,,,,,,,risk,4,0.325768333793925,0.000314110910189973
per_imp,risk_3_12h,,,,,,,,risk,4,0.345179463360848,0.000408245194042967
per_imp,risk_difference_3_12h_minus_0_3h,,,,,,,,risk_difference,4,0.0194111295669232,0.000358134421320478
per_imp,log_risk_ratio_3_12h_vs_0_3h,,,,,,,,log_ratio,4,0.0578779692236261,0.00314715794016459
per_imp,risk_0_3h,,,,,,,,risk,5,0.324112613231418,0.000310579159449603
per_imp,risk_3_12h,,,,,,,,risk,5,0.345360600466698,0.000402790656110886
per_imp,risk_difference_3_12h_minus_0_3h,,,,,,,,risk_difference,5,0.0212479872352802,0.000352718270137095
per_imp,log_risk_ratio_3_12h_vs_0_3h,,,,,,,,log_ratio,5,0.063498062809445,0.00311158672614967
