variable,levels_or_rows,mean_abs_smd,max_abs_smd
ALL,235,0.0131837050198569,0.0649189384071654
metastaticcancer_model,10,0.0644718792142487,0.0649189384071654
cirrhosis_model,10,0.0423624088236829,0.0433120651034015
unit_admit_source_group,30,0.017750720559881,0.0310118268951399
vent_model,10,0.0195872323709513,0.0271524524589744
gender_factor,15,0.00850505212137154,0.0248950025280981
dialysis_model,10,0.00910206392875212,0.0195973102149523
immunosuppression_model,10,0.0171212452711721,0.0183668596481405
hepaticfailure_model,10,0.0146434780722409,0.0158406634447416
unit_type_group,25,0.00646256296625616,0.0119690969516616
ethnicity_group,35,0.00705942305085127,0.0100817465892838
hosp_window_volume_bucket_factor,15,0.00649134344772001,0.00833343592981389
intubated_model,10,0.0044280415927669,0.00807178841534189
age_model,5,0.00757669898139733,0.00774647040486812
apache_score_iva_model,5,0.00265164945558165,0.00760472317072293
apache_score_iva_model_missing_ind,10,0.00497518339746147,0.00535490927467005
diabetes_model,10,0.00282641856110709,0.00428511909359487
diabetes_model_missing_ind,10,0.00198194687893561,0.00276808087761689
hosp_zero_abx_reporting_ind,5,,
