.imp,arm,arm_id,n,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,gt10,gt20,gt50,truncation
1,0-3h,1,2046,0.999982210287042,0.0717305873703834,0.633904210887751,0.843450262847499,0.891139240968707,0.954823084365897,0.999127090613399,1.03740488904275,1.11606151269106,1.21552884050699,1.51853013122313,0,0,0,none
1,3-12h,2,1179,1.00096890064149,0.116361218782899,0.696587694280907,0.743995181021273,0.818919755737274,0.936237125040945,0.995431104437061,1.05783119335866,1.20647624860638,1.33334529322635,1.56496388954835,0,0,0,none
2,0-3h,1,2046,0.999995242224152,0.0728741872140386,0.633904210887751,0.842321529698364,0.890366440046139,0.953849406994478,0.999277701748704,1.03808450415345,1.12194345183226,1.21498672690798,1.506336571172,0,0,0,none
2,3-12h,2,1179,1.00096972416237,0.118397249282531,0.692869543999915,0.747942961318,0.813709292798823,0.931381868459876,0.995777379416995,1.05774411991589,1.21444553635534,1.34851951818701,1.50523054239777,0,0,0,none
3,0-3h,1,2046,0.999979134339365,0.0721196660473047,0.633904210887751,0.843942334031371,0.889900941842739,0.955143828802842,0.999468413922644,1.03802932358963,1.11778423454836,1.21169675107724,1.513255517802,0,0,0,none
3,3-12h,2,1179,1.00096826805738,0.117041938692615,0.696197381309406,0.741805361912339,0.816372097174173,0.93692855430005,0.993998699448678,1.05941228474582,1.20515064303357,1.35789283853264,1.49076798538268,0,0,0,none
4,0-3h,1,2046,0.999994815695995,0.0726596482700303,0.633904210887751,0.841102102085524,0.890648581766462,0.954492339566781,0.999792107837155,1.03783470444427,1.12091552842752,1.21030548268083,1.50559616048102,0,0,0,none
4,3-12h,2,1179,1.00086829418819,0.117236873924972,0.694582958753915,0.744272041564676,0.818127287488595,0.934145441850127,0.995367349469895,1.05770641159805,1.21087565217505,1.35860667247121,1.48966592581899,0,0,0,none
5,0-3h,1,2046,0.999986231647778,0.0720915509641209,0.633904210887751,0.844546208439053,0.88995291575143,0.955018342992569,0.999259908449682,1.03748157796464,1.11822885593662,1.2163450116412,1.51080205575983,0,0,0,none
5,3-12h,2,1179,1.00074491318182,0.11559157365953,0.698367384842463,0.740514028693812,0.818588993240364,0.936858726635583,0.995512501713158,1.05815191836004,1.20351605667481,1.33593335782499,1.48703691181333,0,0,0,none
1,0-3h,1,2046,0.999490838896582,0.0684357914984586,0.843450262847499,0.843726975448205,0.891139240968707,0.954823084365897,0.999127090613399,1.03740488904275,1.11606151269106,1.21545745403874,1.21552884050699,0,0,0,p01_p99
1,3-12h,2,1179,1.00032059257907,0.112384854311723,0.743995181021273,0.744261931660437,0.818919755737274,0.936237125040945,0.995431104437061,1.05783119335866,1.20647624860638,1.3315726062808,1.33334529322635,0,0,0,p01_p99
2,0-3h,1,2046,0.999500182053412,0.0696417323915114,0.842321529698364,0.842435915222806,0.890366440046139,0.953849406994478,0.999277701748704,1.03808450415345,1.12194345183226,1.21463498145795,1.21498672690798,0,0,0,p01_p99
2,3-12h,2,1179,1.00057697017789,0.114903898511584,0.747942961318,0.75024184079318,0.813709292798823,0.931381868459876,0.995777379416995,1.05774411991589,1.21444553635534,1.34697686305445,1.34851951818701,0,0,0,p01_p99
3,0-3h,1,2046,0.99945319857662,0.0686916974422904,0.843942334031371,0.843982589036775,0.889900941842739,0.955143828802842,0.999468413922644,1.03802932358963,1.11778423454836,1.21161687800242,1.21169675107724,0,0,0,p01_p99
3,3-12h,2,1179,1.00061962817712,0.114280236135235,0.741805361912339,0.742623318603384,0.816372097174173,0.93692855430005,0.993998699448678,1.05941228474582,1.20515064303357,1.35651478484509,1.35789283853264,0,0,0,p01_p99
4,0-3h,1,2046,0.999434158391126,0.0692351420226332,0.841102102085524,0.841129691344245,0.890648581766462,0.954492339566781,0.999792107837155,1.03783470444427,1.12091552842752,1.20996808824947,1.21030548268083,0,0,0,p01_p99
4,3-12h,2,1179,1.00063310967635,0.11466321844771,0.744272041564676,0.744739530597255,0.818127287488595,0.934145441850127,0.995367349469895,1.05770641159805,1.21087565217505,1.35709638418764,1.35860667247121,0,0,0,p01_p99
5,0-3h,1,2046,0.999515686467258,0.0688193611427483,0.844546208439053,0.844558747769468,0.88995291575143,0.955018342992569,0.999259908449682,1.03748157796464,1.11822885593662,1.21528533813377,1.2163450116412,0,0,0,p01_p99
5,3-12h,2,1179,1.00021694852765,0.112330916452353,0.740514028693812,0.7409182543491,0.818588993240364,0.936858726635583,0.995512501713158,1.05815191836004,1.20351605667481,1.33181396847221,1.33593335782499,0,0,0,p01_p99
1,0-3h,1,2046,0.998397541906403,0.059549717629961,0.891139240968707,0.891139240968707,0.891247510307657,0.954823084365897,0.999127090613399,1.03740488904275,1.11603170488668,1.11606151269106,1.11606151269106,0,0,0,p05_p95
1,3-12h,2,1179,0.999184813399725,0.101001320963927,0.818919755737274,0.818919755737274,0.818951872541538,0.936237125040945,0.995431104437061,1.05783119335866,1.20637708659943,1.20647624860638,1.20647624860638,0,0,0,p05_p95
2,0-3h,1,2046,0.998583117397805,0.0613162934058065,0.890366440046139,0.890366440046139,0.890401484665103,0.953849406994478,0.999277701748704,1.03808450415345,1.12166047256055,1.12194345183226,1.12194345183226,0,0,0,p05_p95
2,3-12h,2,1179,0.999146126407697,0.103681420164469,0.813709292798823,0.813709292798823,0.813823066937116,0.931381868459876,0.995777379416995,1.05774411991589,1.21330538756384,1.21444553635534,1.21444553635534,0,0,0,p05_p95
3,0-3h,1,2046,0.998397824480795,0.060258536731929,0.889900941842739,0.889900941842739,0.88993232670086,0.955143828802842,0.999468413922644,1.03802932358963,1.1177621763956,1.11778423454836,1.11778423454836,0,0,0,p05_p95
3,3-12h,2,1179,0.998957871690893,0.101666989588687,0.816372097174173,0.816372097174173,0.816382261690466,0.93692855430005,0.993998699448678,1.05941228474582,1.20474603774568,1.20515064303357,1.20515064303357,0,0,0,p05_p95
4,0-3h,1,2046,0.998594267862939,0.0608565972656774,0.890648581766462,0.890648581766462,0.890686219332665,0.954492339566781,0.999792107837155,1.03783470444427,1.12075136707937,1.12091552842752,1.12091552842752,0,0,0,p05_p95
4,3-12h,2,1179,0.999299972753177,0.102433446441203,0.818127287488595,0.818127287488595,0.818230888191143,0.934145441850127,0.995367349469895,1.05770641159805,1.21064622290049,1.21087565217505,1.21087565217505,0,0,0,p05_p95
5,0-3h,1,2046,0.998424183563321,0.0602763216367932,0.88995291575143,0.88995291575143,0.890064932290257,0.955018342992569,0.999259908449682,1.03748157796464,1.11815657318803,1.11822885593662,1.11822885593662,0,0,0,p05_p95
5,3-12h,2,1179,0.998929642657497,0.100487700561077,0.818588993240364,0.818588993240364,0.818595352548646,0.936858726635583,0.995512501713158,1.05815191836004,1.20345164313871,1.20351605667481,1.20351605667481,0,0,0,p05_p95
