"Model","Contrast","OR (95% CI)","P value","Interpretation"
"Main arm2: Crude logistic","3-12h vs 0-3h","1.08 (0.90-1.29)","0.412","Late arm has higher estimated odds - Not statistically significant"
"Main arm2: Adjusted logistic","3-12h vs 0-3h","1.12 (0.92-1.37)","0.256","Late arm has higher estimated odds - Not statistically significant"
"Main arm2: Adjusted logistic + hospital random intercept","3-12h vs 0-3h","1.11 (0.91-1.36)","0.291","Late arm has higher estimated odds - Not statistically significant"
"Main arm2: Support-expanded sensitivity","3-12h vs 0-3h","1.13 (0.93-1.38)","0.230","Late arm has higher estimated odds - Not statistically significant"
"Main arm2: Rare-comorbidity sensitivity","3-12h vs 0-3h","1.13 (0.93-1.38)","0.218","Late arm has higher estimated odds - Not statistically significant"
"Sensitivity >12-72h: crude logistic",">12-72h vs 0-3h","0.88 (0.72-1.06)","0.180","Late arm has lower estimated odds - Not statistically significant"
"Sensitivity >12-72h: adjusted logistic",">12-72h vs 0-3h","0.98 (0.78-1.22)","0.844","Late arm has lower estimated odds - Not statistically significant"
"Sensitivity >12-72h: adjusted logistic + hospital random intercept",">12-72h vs 0-3h","0.99 (0.79-1.24)","0.951","Late arm has lower estimated odds - Not statistically significant"
"Sensitivity >12-72h: support-expanded",">12-72h vs 0-3h","0.97 (0.78-1.21)","0.772","Late arm has lower estimated odds - Not statistically significant"
"Sensitivity >12-72h: rare-comorbidity",">12-72h vs 0-3h","0.98 (0.79-1.22)","0.867","Late arm has lower estimated odds - Not statistically significant"
