section,contrast,m,estimate,robust_se,statistic,df,p_value,conf_low,conf_high,or,or_ci_low,or_ci_high,.imp,variance
pooled,3-6h_vs_0-3h,5,0.1912995435153,0.0654874939524766,2.92116146105886,63104540262.1344,0.00348729046569182,0.0629464139281991,0.3196526731024,1.21082209167116,1.0649697701557,1.37664953387793,,
pooled,6-12h_vs_0-3h,5,0.251589528562494,0.0623938895274328,4.03227832834299,14726871781790.8,5.52387105862424e-05,0.129299752233345,0.373879304891643,1.28606803473232,1.13803120043794,1.45336172621961,,
pooled,6-12h_vs_3-6h,5,0.0602899850471944,0.0506021735030376,1.1914505024883,14354435136.3459,0.23347677706761,-0.0388884525665689,0.159468422660958,1.06214450791636,0.961857995953245,1.1728872249784,,
per_imp,3-6h_vs_0-3h,,0.1915968550153,0.0654839648798705,,,,,,1.21118213652356,,,1,0.00428814965638811
per_imp,6-12h_vs_0-3h,,0.251564287340774,0.0623902162344882,,,,,,1.2860355732136,,,1,0.00389253908178619
per_imp,6-12h_vs_3-6h,,0.0599674323254738,0.0505985897015723,,,,,,1.06180196556143,,,1,0.00256021727978806
per_imp,3-6h_vs_0-3h,,0.191200967426498,0.0654873736936657,,,,,,1.21070273944786,,,2,0.00428859611329382
per_imp,6-12h_vs_0-3h,,0.251636272272346,0.0623941242275396,,,,,,1.28612815172842,,,2,0.00389302673812165
per_imp,6-12h_vs_3-6h,,0.0604353048458481,0.0506031193104343,,,,,,1.06229886975804,,,2,0.00256067568394605
per_imp,3-6h_vs_0-3h,,0.191254913245275,0.065487797059529,,,,,,1.21076805356013,,,3,0.00428865156371005
per_imp,6-12h_vs_0-3h,,0.251622705436666,0.062395056773091,,,,,,1.28611070315749,,,3,0.00389314310971725
per_imp,6-12h_vs_3-6h,,0.0603677921913906,0.0506034623695923,,,,,,1.06222715356241,,,3,0.00256071040379075
per_imp,3-6h_vs_0-3h,,0.191252793053485,0.0654884668456767,,,,,,1.21076548650237,,,4,0.00428873928979729
per_imp,6-12h_vs_0-3h,,0.251536253796176,0.0623960566806864,,,,,,1.28599952158333,,,4,0.00389326788929943
per_imp,6-12h_vs_3-6h,,0.0602834607426913,0.0506027721502659,,,,,,1.06213757818477,,,4,0.00256064054929172
per_imp,3-6h_vs_0-3h,,0.19119218883594,0.0654885637106833,,,,,,1.21069211123088,,,5,0.00428875197688823
per_imp,6-12h_vs_0-3h,,0.251588123966508,0.0623939122705454,,,,,,1.28606622832759,,,5,0.00389300028842451
per_imp,6-12h_vs_3-6h,,0.0603959351305683,0.0506008120417068,,,,,,1.06225704817725,,,5,0.00256044217928014
