section,contrast,m,estimate,robust_se,statistic,df,p_value,conf_low,conf_high,or,or_ci_low,or_ci_high,.imp,variance,ci_low,ci_high
pooled,3-6h_vs_0-3h,5,0.211940979191043,0.065118291158601,3.25470732447268,92453210647.1985,0.00113509276225583,0.0843114737837216,0.339570484598365,1.23607492878333,1.0879677144598,1.40434427351122,,,,
pooled,6-12h_vs_0-3h,5,0.255222998702641,0.062328080359716,4.09483169110399,15619285280991,4.22475183537124e-05,0.13306220597207,0.377383791433212,1.29074942422885,1.14232105531245,1.45846394794098,,,,
pooled,6-12h_vs_3-6h,5,0.0432820195115978,0.0506316685609529,0.854840868210631,21601590188.986,0.392639249904946,-0.055954227350599,0.142518266373795,1.04423234722456,0.94558241671229,1.15317414507497,,,,
per_imp,3-6h_vs_0-3h,,0.212210219168853,0.065114541089442,,,,,,1.23640777437538,,,1,0.00423990346128863,1.08826612491916,1.40471539959901
per_imp,6-12h_vs_0-3h,,0.255202075755808,0.0623244081483415,,,,,,1.29072241822979,,,1,0.00388433185104106,1.14230281237724,1.45842620964395
per_imp,6-12h_vs_3-6h,,0.0429918565869547,0.0506277454889105,,,,,,1.04392939366776,,,1,0.0025631686132899,0.945313628468951,1.15283282303734
per_imp,3-6h_vs_0-3h,,0.211853948335658,0.0651184306624898,,,,,,1.23596735680606,,,2,0.00424041001194549,1.08787018301944,1.40422573477489
per_imp,6-12h_vs_0-3h,,0.255266995734966,0.0623283955172931,,,,,,1.29080621462228,,,2,0.00388482888776012,1.14236804514032,1.45853229245646
per_imp,6-12h_vs_3-6h,,0.0434130473993081,0.0506328588827206,,,,,,1.04436917974754,,,2,0.0025636863986375,0.945702391630894,1.15333004680848
per_imp,3-6h_vs_0-3h,,0.211899234191435,0.0651187193934861,,,,,,1.23602332991291,,,3,0.00424044761544759,1.08791883359986,1.40429012248438
per_imp,6-12h_vs_0-3h,,0.255255145356448,0.0623292625516842,,,,,,1.29079091817068,,,3,0.00388493697023679,1.14235256642558,1.45851748698326
per_imp,6-12h_vs_3-6h,,0.0433559111650135,0.0506331844014617,,,,,,1.04430951013006,,,3,0.00256371936263242,0.945647755961805,1.15326488755728
per_imp,3-6h_vs_0-3h,,0.21189624289815,0.0651192165666944,,,,,,1.23601963261016,,,4,0.00424051236626004,1.08791451919128,1.40428729026746
per_imp,6-12h_vs_0-3h,,0.255166914643295,0.0623301369912763,,,,,,1.29067703579148,,,4,0.00388504597735127,1.14224982258477,1.45839130615916
per_imp,6-12h_vs_3-6h,,0.0432706717451454,0.0506323402869379,,,,,,1.044220497587,,,4,0.00256363388293227,0.945568717339564,1.1531646802453
per_imp,3-6h_vs_0-3h,,0.211845251361121,0.0651194771450084,,,,,,1.23595660767618,,,5,0.00424054630363927,1.08785849056622,1.40421640250591
per_imp,6-12h_vs_0-3h,,0.255223862022688,0.0623281195819544,,,,,,1.29075053855918,,,5,0.0038847944906224,1.14231938943259,1.45846859311245
per_imp,6-12h_vs_3-6h,,0.0433786106615674,0.0506304910769763,,,,,,1.04433321569924,,,5,0.00256344662669577,0.94567421405497,1.15328497827616
