section,contrast,m,estimate,robust_se,statistic,df,p_value,conf_low,conf_high,hr,hr_ci_low,hr_ci_high,.imp,variance
pooled,3-6h_vs_0-3h,5,0.210543611425007,0.0645789408812394,3.26025184916236,91873821657.7794,0.00111313324778769,0.0839712131363692,0.337116009713645,1.23434888376214,1.08759758483483,1.40090157250233,,
pooled,6-12h_vs_0-3h,5,0.252563463541877,0.0618253572771983,4.08511126606985,16244439755207,4.40557002124271e-05,0.131387989947238,0.373738937136516,1.28732119152478,1.14041016316562,1.45315773541392,,
pooled,6-12h_vs_3-6h,5,0.0420198521168695,0.0501454516588323,0.837959390669251,21808940765.4199,0.40205351128369,-0.0562634271283907,0.14030313136213,1.04291518261935,0.945290088035468,1.15062253577458,,
per_imp,3-6h_vs_0-3h,,0.210811013434932,0.0645750126717479,,,,,,1.23467899526888,,,1,0.0041699322615564
per_imp,6-12h_vs_0-3h,,0.252544308112225,0.0618216010517117,,,,,,1.28729653257043,,,1,0.003821910356597
per_imp,6-12h_vs_3-6h,,0.041733294677293,0.050141402772041,,,,,,1.04261637033041,,,1,0.00251416027194805
per_imp,3-6h_vs_0-3h,,0.210457041436643,0.0645791371429901,,,,,,1.23424203081883,,,2,0.00417046495413312
per_imp,6-12h_vs_0-3h,,0.252606397359506,0.0618256929904063,,,,,,1.28737646232453,,,2,0.00382241631374397
per_imp,6-12h_vs_3-6h,,0.0421493559228631,0.0501466850339302,,,,,,1.04305025285069,,,2,0.00251469001989219
per_imp,3-6h_vs_0-3h,,0.210502223944696,0.0645793672626561,,,,,,1.23429779822917,,,3,0.00417049467604502
per_imp,6-12h_vs_0-3h,,0.252594842688326,0.0618265263326518,,,,,,1.28736158719876,,,3,0.00382251935836209
per_imp,6-12h_vs_3-6h,,0.0420926187436301,0.0501469893112178,,,,,,1.04299107480036,,,3,0.00251472053697939
per_imp,3-6h_vs_0-3h,,0.21049931512394,0.0645799419192513,,,,,,1.23429420788334,,,4,0.00417056889829387
per_imp,6-12h_vs_0-3h,,0.252507543630699,0.0618274701289193,,,,,,1.2872492066508,,,4,0.00382263606254241
per_imp,6-12h_vs_3-6h,,0.0420082285067597,0.0501461738309356,,,,,,1.04290306025034,,,4,0.00251463874988241
per_imp,3-6h_vs_0-3h,,0.210448463184825,0.0645801799856411,,,,,,1.2342314432253,,,5,0.00417059964697781
per_imp,6-12h_vs_0-3h,,0.252564225918627,0.0618254190220583,,,,,,1.2873221729489,,,5,0.00382238243725309
per_imp,6-12h_vs_3-6h,,0.0421157627338017,0.0501443093344739,,,,,,1.04301521405488,,,5,0.00251445175863141
