model,contrast,contrast_label,contrast_order,measure,estimate,ci_low,ci_high,p_value,estimate_95_ci,p_value_text
Main: coarse-time pooled logistic,3-6h_vs_0-3h,3-6h vs 0-3h,1,OR,1.21082209167116,1.0649697701557,1.37664953387793,0.00348729046569182,1.21 (1.06-1.38),0.003
Main: coarse-time pooled logistic,6-12h_vs_0-3h,6-12h vs 0-3h,2,OR,1.28606803473232,1.13803120043794,1.45336172621961,5.52387105862424e-05,1.29 (1.14-1.45),<0.001
Main: coarse-time pooled logistic,6-12h_vs_3-6h,6-12h vs 3-6h,3,OR,1.06214450791636,0.961857995953245,1.1728872249784,0.23347677706761,1.06 (0.96-1.17),0.233
Sensitivity: full hourly time-axis pooled logistic,3-6h_vs_0-3h,3-6h vs 0-3h,1,OR,1.23607492878333,1.0879677144598,1.40434427351122,0.00113509276225583,1.24 (1.09-1.40),0.001
Sensitivity: full hourly time-axis pooled logistic,6-12h_vs_0-3h,6-12h vs 0-3h,2,OR,1.29074942422885,1.14232105531245,1.45846394794098,4.22475183537124e-05,1.29 (1.14-1.46),<0.001
Sensitivity: full hourly time-axis pooled logistic,6-12h_vs_3-6h,6-12h vs 3-6h,3,OR,1.04423234722456,0.94558241671229,1.15317414507497,0.392639249904946,1.04 (0.95-1.15),0.393
Sensitivity: weighted Cox model,3-6h_vs_0-3h,3-6h vs 0-3h,1,HR,1.23434888376214,1.08759758483483,1.40090157250233,0.00111313324778769,1.23 (1.09-1.40),0.001
Sensitivity: weighted Cox model,6-12h_vs_0-3h,6-12h vs 0-3h,2,HR,1.28732119152478,1.14041016316562,1.45315773541392,4.40557002124271e-05,1.29 (1.14-1.45),<0.001
Sensitivity: weighted Cox model,6-12h_vs_3-6h,6-12h vs 3-6h,3,HR,1.04291518261935,0.945290088035468,1.15062253577458,0.40205351128369,1.04 (0.95-1.15),0.402
Sensitivity: pooled logistic with p01-p99 weight truncation,3-6h_vs_0-3h,3-6h vs 0-3h,1,OR,1.23544835313216,1.08922509611914,1.40130138269419,0.00100271931457129,1.24 (1.09-1.40),0.001
Sensitivity: pooled logistic with p01-p99 weight truncation,6-12h_vs_0-3h,6-12h vs 0-3h,2,OR,1.28805794205553,1.14228636185793,1.45243199734418,3.61345929872979e-05,1.29 (1.14-1.45),<0.001
Sensitivity: pooled logistic with p01-p99 weight truncation,6-12h_vs_3-6h,6-12h vs 3-6h,3,OR,1.04258339799474,0.944355210927649,1.1510289022565,0.408819596964946,1.04 (0.94-1.15),0.409
Sensitivity: pooled logistic with p05-p95 weight truncation,3-6h_vs_0-3h,3-6h vs 0-3h,1,OR,1.22932806477085,1.08666420356347,1.39072170213894,0.00103614508715715,1.23 (1.09-1.39),0.001
Sensitivity: pooled logistic with p05-p95 weight truncation,6-12h_vs_0-3h,6-12h vs 0-3h,2,OR,1.27824937578761,1.13674093587495,1.43737364876703,4.11368747249746e-05,1.28 (1.14-1.44),<0.001
Sensitivity: pooled logistic with p05-p95 weight truncation,6-12h_vs_3-6h,6-12h vs 3-6h,3,OR,1.039795163243,0.942723223117866,1.14686257322459,0.435149381720876,1.04 (0.94-1.15),0.435
