row_type,section,characteristic,unweighted_0_3h,unweighted_3_6h,unweighted_6_12h,max_smd_before,weighted_0_3h,weighted_3_6h,weighted_6_12h,max_smd_after
section,Demographics,Demographics,"","","","","","","",""
data,"","Age, years","65 [54, 76]","67 [55, 79]","68 [56, 80]",0.178,"67 [56, 78]","68 [55, 79]","67 [56, 79]",0.020
data,"",Male sex,"2,040 (59.3%)","1,827 (56.4%)","2,812 (56.0%)",0.066,"1,890.5 (58.3%)","1,795.4 (57.4%)","2,907.9 (56.9%)",0.029
section,Race,Race,"","","","","","","",""
data,"",White,"2,133 (62.0%)","2,048 (63.2%)","3,333 (66.4%)",0.092,"2,073.1 (64.0%)","1,977.4 (63.2%)","3,348.5 (65.5%)",0.047
data,"",Black,208 (6.0%),265 (8.2%),499 (9.9%),0.144,273.5 (8.4%),248.1 (7.9%),422.2 (8.3%),0.018
data,"",Asian,97 (2.8%),83 (2.6%),172 (3.4%),0.051,88.0 (2.7%),89.4 (2.9%),155.8 (3.0%),0.020
data,"",Hispanic,114 (3.3%),101 (3.1%),179 (3.6%),0.025,104.6 (3.2%),100.6 (3.2%),160.7 (3.1%),0.005
data,"",Other race,151 (4.4%),131 (4.0%),190 (3.8%),0.030,137.4 (4.2%),125.6 (4.0%),200.2 (3.9%),0.016
data,"",Unknown race,736 (21.4%),613 (18.9%),644 (12.8%),0.229,565.0 (17.4%),585.4 (18.7%),825.8 (16.2%),0.068
section,Admission type,Admission type,"","","","","","","",""
data,"",Emergency,"1,301 (37.8%)","2,215 (68.3%)","3,794 (75.6%)",0.825,"1,912.0 (59.0%)","1,899.7 (60.8%)","3,036.0 (59.4%)",0.036
data,"",Urgent,"1,325 (38.5%)",572 (17.6%),514 (10.2%),0.698,692.9 (21.4%),619.6 (19.8%),"1,014.7 (19.8%)",0.039
data,"",Elective surgical,561 (16.3%),190 (5.9%),178 (3.5%),0.437,303.0 (9.3%),279.1 (8.9%),523.9 (10.2%),0.045
data,"",Observation,252 (7.3%),264 (8.1%),531 (10.6%),0.114,333.7 (10.3%),328.0 (10.5%),538.4 (10.5%),0.008
section,Baseline severity,Baseline severity,"","","","","","","",""
data,"",Charlson comorbidity index,"5 [3, 7]","5 [3, 7]","5 [3, 7]",0.183,"5 [3, 7]","5 [3, 7]","5 [3, 7]",0.020
data,"",SOFA score at t0,"2 [1, 4]","2 [0, 4]","2 [0, 4]",0.174,"2 [1, 4]","2 [0, 4]","2 [0, 4]",0.026
data,"",SOFA missing,1 (0.0%),3 (0.1%),5 (0.1%),0.028,0.9 (0.0%),2.0 (0.1%),2.9 (0.1%),0.020
data,"",Shock at t0,532 (15.5%),601 (18.5%),918 (18.3%),0.082,440.5 (13.6%),463.3 (14.8%),721.6 (14.1%),0.035
section,Auxiliary covariates,Auxiliary covariates,"","","","","","","",""
data,"","Minimum mean BP, mmHg","74 [65, 86]","74 [65, 86]","74 [65, 86]",0.027,"75 [66, 87]","74 [65, 86]","74 [64, 86]",0.054
data,"",Mean BP missing,230 (6.7%),246 (7.6%),464 (9.2%),0.095,240.8 (7.4%),225.5 (7.2%),458.5 (9.0%),0.065
data,"",Mean BP extreme/invalid,3 (0.1%),2 (0.1%),4 (0.1%),0.009,6.0 (0.2%),1.5 (0.0%),5.6 (0.1%),0.040
